name,credentials,category,description,city,zip,online,state,url,type
"Grieving Fathers (Depending on enrollment)","Clinical Social Work/Therapist, LCSW, OSW-C, CMF","parenting","I am gathering an interest list to start a grief support group for fathers whose partners have died. You might find it virtually impossible to run your household and go on with ""normal life,"" while grieving the death of your partner/spouse - the ""dual track,"" grieving while raising children. Come find support with others in similar situations who ""get it,"" not to wallow but to find time and space to feel the pain of loss, address the demands of going on, and share from your hearts about what reb","Los Angeles","90018","no","CA","https://www.psychologytoday.com/us/groups/grieving-fathers-depending-on-enrollment-los-angeles-ca/227385","group"
"A Therapy Group for Parents on Having Parents","Marriage & Family Therapist Associate, AMFT, MA, MFA, PMH-C","parenting","can be a time of change, unexpected shifts, and/or intensified strain in relationships, especially with our own","Los Angeles","90036","no","CA","https://www.psychologytoday.com/us/groups/a-therapy-group-for-parents-on-having-parents/288790","group"
"Mindful Moms","Marriage & Family Therapist Associate, AMFT","parenting","I have a certificate in Trauma-Focused CBT therapy and an MFA in Creative Writing as well as a Certificate in Therapeutic Mindfulness Interventions and Trauma Informed Non-violent","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/mindful-moms-los-angeles-ca/265724","group"
"Rooted Motherhood Group (Paused until Winter 2026)","Marriage & Family Therapist, LMFT","parenting","A 10-week closed group designed to be a nonjudgmental space for moms in transition to two or more young kids to connect with other moms and learn how to reparent yourself with compassion as you navigate life with multiple littles. Each week blends restorative practices such as breath-work, south bath, or meditation followed by honest, supportive group conversation. Together, we will explore nervous system regulation and gentle reparenting practices to help you find steadiness within the chaos of","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/rooted-motherhood-group-paused-until-winter-2026-los-angeles-ca/274972","group"
"Good Mother","Marriage & Family Therapist, LMFT","parenting","Monthly meetup for mothers. A space for the highs-lows and everything in-between. Cost: $5 or Free","Los Angeles","90042","no","CA","https://www.psychologytoday.com/us/groups/good-mother/291071","group"
"The Hidden Manual - a parenting guide","Marriage & Family Therapist, MA, LMFT","parenting","sometimes wish their babies would come with a manual with guidance, explanation and tips on how to approach challenging issues related to raising a good, decent and happy child. This group was created with caring","Los Angeles","90045","no","CA","https://www.psychologytoday.com/us/groups/the-hidden-manual-a-parenting-guide-los-angeles-ca/160370","group"
"Westwood Minds","Psychiatrist, MD, PhD","parenting","guidance, career/academic guidance will also be provided as needed.","Los Angeles","90024","no","CA","https://www.psychologytoday.com/us/groups/westwood-minds-los-angeles-ca/280262","group"
"Self-Development in Motherhood","Clinical Social Work/Therapist, LCSW, MSG","parenting","An 8-session group for mothers with children of all ages under 18. Connect with other mothers while learning evidence-based ideas and techniques to enhance the quality of your life as a mother.   Schedule:  The group will meet on the following 8 Wednesdays:  August 31, September 7, 14, 21, 28, October 12, 19, 26 (Please note that there will be one week off in October.)  Location:  Depending on interest, I will decide whether the group will meet online or in person in Culver City.","Los Angeles","90034","no","CA","https://www.psychologytoday.com/us/groups/self-development-in-motherhood-los-angeles-ca/205446","group"
"Conscious Beginnings","Psychologist, PsyD, BC-DMT","parenting","A group for pregnant mothers. A place to learn about attunement, process current and related feelings, and get the tools to be your best self as baby is now in your life.","Los Angeles","90045","no","CA","https://www.psychologytoday.com/us/groups/conscious-beginnings-los-angeles-ca/87848","group"
"Empowered Parenthood: Postpartum Support Group","Licensed Professional Counselor, MA, LPCC, NCC","parenting","Discover a nurturing haven of understanding and empowerment with our 8-week Postpartum Support for Empowered Parenthood group, designed for birthing individuals. Guiding you through the transformative journey of parenthood, we address pivotal themes to ensure your emotional well-being. Over 8 weeks we will cover these topics:  Postpartum Blues and perinatal mood and anxiety disorders, Common Myths,","Los Angeles","90004","no","CA","https://www.psychologytoday.com/us/groups/empowered-parenthood-postpartum-support-group-los-angeles-ca/228750","group"
